Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE,Duration_min,Set_Volume,DateOnly,Week,DOW
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Cable Curl,3,60.0,10,0.0,0,,,,114,600.0,2025-02-24,2025-02-24,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Hip Thrust (Barbell),2,156.0,10,0.0,0,,,,96,1560.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Face Pull (Cable),2,40.0,10,0.0,0,,,,96,400.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Face Pull (Cable),3,40.0,10,0.0,0,,,,96,400.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Hip Thrust (Barbell),1,116.0,10,0.0,0,,,,96,1160.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Hip Thrust (Barbell),3,156.0,5,0.0,0,,,,96,780.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Face Pull (Cable),1,35.0,10,0.0,0,,,,96,350.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Squat (Machine),1,70.0,10,0.0,0,,,,96,700.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Squat (Machine),2,70.0,10,0.0,0,,,,96,700.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Squat (Machine),3,70.0,10,0.0,0,,,,96,700.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Stair Master ,1,0.0,5,0.0,0,,,,96,,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Hip Thrust (Barbell),4,156.0,5,0.0,0,,,,96,780.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Oblique Scrunches,2,0.0,10,0.0,0,,,,96,,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Oblique Scrunches,3,0.0,10,0.0,0,,,,96,,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Basic Scrunches,3,0.0,16,0.0,0,,,,96,,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Triceps Pushdown (Cable - Straight Bar),1,70.0,10,0.0,0,,,,96,700.0,2025-03-03,2025-03-03,Monday
